STT,Dữ Liệu ,Câu Hỏi,Câu Trả Lời,Nguồn( Nếu Có),Thông Tin Thêm,Đánh giá,Minh chứng,Context
215,18.0,Đơn vị tôi muốn đăng ký cấp kinh phí cho hoạt động nghiên cứu khoa học thì làm thế nào?,"Đơn vị cần lập dự toán chi tiết gửi về Phòng Tài chính – Kế toán để được kiểm tra, thẩm định và trình Giám đốc Học viện phê duyệt theo quy trình. Phòng sẽ thông báo kết quả và tổ chức việc cấp kinh phí khi đủ điều kiện.","Trích dẫn: “Tổ chức việc cấp kinh phí cho các hoạt động của Học viện, các đơn vị trực thuộc Học viện.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Đơn vị tôi muốn đăng ký cấp kinh phí cho hoạt động nghiên cứu khoa học thì làm thế nào?```
#Answer : ```Đơn vị cần lập dự toán chi tiết gửi về Phòng Tài chính – Kế toán để được kiểm tra, thẩm định và trình Giám đốc Học viện phê duyệt theo quy trình. Phòng sẽ thông báo kết quả và tổ chức việc cấp kinh phí khi đủ điều kiện.```"
216,18.0,"Tôi là cán bộ, muốn nhận quyết toán tài chính của đơn vị thì liên hệ ai?","Cán bộ liên hệ trực tiếp Phòng Tài chính – Kế toán để được cung cấp số liệu, tài liệu quyết toán tài chính theo quy định của Nhà nước và yêu cầu của Giám đốc Học viện. Vui lòng chuẩn bị văn bản đề nghị hoặc email xác nhận từ lãnh đạo đơn vị để được hỗ trợ nhanh chóng.","Trích dẫn: “Lập báo cáo tài chính theo quy định. Cung cấp số liệu, tài liệu kế toán, thống kê cho các cơ quan có liên quan…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Tôi là cán bộ, muốn nhận quyết toán tài chính của đơn vị thì liên hệ ai?```
#Answer : ```Cán bộ liên hệ trực tiếp Phòng Tài chính – Kế toán để được cung cấp số liệu, tài liệu quyết toán tài chính theo quy định của Nhà nước và yêu cầu của Giám đốc Học viện. Vui lòng chuẩn bị văn bản đề nghị hoặc email xác nhận từ lãnh đạo đơn vị để được hỗ trợ nhanh chóng.```"
217,18.0,Đơn vị muốn kiểm kê tài sản định kỳ thì quy trình như thế nào?,"Đơn vị phối hợp với Phòng Tài chính – Kế toán để lên lịch kiểm kê tài sản định kỳ hoặc đột xuất. Phòng sẽ hướng dẫn các biểu mẫu và thủ tục kiểm kê, tổng hợp báo cáo gửi về Học viện theo quy định.","Trích dẫn: “Tổ chức thực hiện công tác kiểm kê tài sản vật tư, tiền vốn, kinh phí định kỳ và bất thường…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Đơn vị muốn kiểm kê tài sản định kỳ thì quy trình như thế nào?```
#Answer : ```Đơn vị phối hợp với Phòng Tài chính – Kế toán để lên lịch kiểm kê tài sản định kỳ hoặc đột xuất. Phòng sẽ hướng dẫn các biểu mẫu và thủ tục kiểm kê, tổng hợp báo cáo gửi về Học viện theo quy định.```"
218,18.0,Tôi muốn khiếu nại về khoản thu tài chính bất hợp lý thì gửi đơn ở đâu?,"Bạn vui lòng gửi đơn khiếu nại về Phòng Tài chính – Kế toán (tầng 1, nhà A1) để được tiếp nhận và giải quyết theo thẩm quyền. Nếu cần, có thể liên hệ trực tiếp Trưởng phòng hoặc gửi email tới ngocdb@ptit.edu.vn để được phản hồi.","Trích dẫn: “Kiến nghị, đề nghị Giám đốc Học viện… xử lý các vi phạm về tài chính kế toán trong toàn Học viện…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Tôi muốn khiếu nại về khoản thu tài chính bất hợp lý thì gửi đơn ở đâu?```
#Answer : ```Bạn vui lòng gửi đơn khiếu nại về Phòng Tài chính – Kế toán (tầng 1, nhà A1) để được tiếp nhận và giải quyết theo thẩm quyền. Nếu cần, có thể liên hệ trực tiếp Trưởng phòng hoặc gửi email tới ngocdb@ptit.edu.vn để được phản hồi.```"
219,18.0,Sinh viên được hoàn trả học phí trong trường hợp nào và thủ tục ra sao?,"Sinh viên được hoàn trả học phí trong các trường hợp đặc biệt như thôi học, bảo lưu, nộp thừa học phí. Để thực hiện thủ tục hoàn trả, sinh viên cần nộp đơn đề nghị hoàn trả học phí kèm các giấy tờ liên quan tại Phòng Tài chính – Kế toán. Phòng sẽ kiểm tra hồ sơ và thực hiện hoàn trả theo quy định.","Trích dẫn: “Thực hiện thu học phí, lệ phí và các khoản thu khác; thanh toán các khoản chi theo chế độ quy định.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Sinh viên được hoàn trả học phí trong trường hợp nào và thủ tục ra sao?```
#Answer : ```Sinh viên được hoàn trả học phí trong các trường hợp đặc biệt như thôi học, bảo lưu, nộp thừa học phí. Để thực hiện thủ tục hoàn trả, sinh viên cần nộp đơn đề nghị hoàn trả học phí kèm các giấy tờ liên quan tại Phòng Tài chính – Kế toán. Phòng sẽ kiểm tra hồ sơ và thực hiện hoàn trả theo quy định.```"
220,18.0," Sinh viên nhận được thông báo nợ học phí dù đã nộp, phải giải quyết như thế nào?","Sinh viên cần xuất trình biên lai hoặc chứng từ chuyển khoản cho Phòng Tài chính – Kế toán để đối chiếu. Nếu có sai sót hệ thống, Phòng sẽ cập nhật lại trạng thái đóng học phí và xác nhận cho sinh viên.","Trích dẫn: “Kiểm tra, giám sát các khoản thu, chi tài chính, quản lý vốn…” (Chức năng Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ``` Sinh viên nhận được thông báo nợ học phí dù đã nộp, phải giải quyết như thế nào?```
#Answer : ```Sinh viên cần xuất trình biên lai hoặc chứng từ chuyển khoản cho Phòng Tài chính – Kế toán để đối chiếu. Nếu có sai sót hệ thống, Phòng sẽ cập nhật lại trạng thái đóng học phí và xác nhận cho sinh viên.```"
221,18.0,"Sinh viên muốn hỏi về các khoản phí dịch vụ (ví dụ: phí làm lại thẻ, phí học lại, phí tốt nghiệp) thì liên hệ ai?","Sinh viên liên hệ trực tiếp Phòng Tài chính – Kế toán để được cung cấp thông tin chi tiết về từng loại phí, mức phí và hướng dẫn nộp theo quy định.","Trích dẫn: “Xây dựng và tổ chức thực hiện các cơ chế, chính sách, mức thu, mức chi…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Sinh viên muốn hỏi về các khoản phí dịch vụ (ví dụ: phí làm lại thẻ, phí học lại, phí tốt nghiệp) thì liên hệ ai?```
#Answer : ```Sinh viên liên hệ trực tiếp Phòng Tài chính – Kế toán để được cung cấp thông tin chi tiết về từng loại phí, mức phí và hướng dẫn nộp theo quy định.```"
222,18.0,"Sinh viên thuộc diện miễn giảm học phí, học bổng, trợ cấp thì thực hiện thủ tục ở đâu?","Sinh viên nộp hồ sơ miễn giảm học phí, học bổng, trợ cấp tại Phòng Chính trị & Công tác sinh viên. Sau khi được duyệt, danh sách sẽ chuyển sang Phòng Tài chính – Kế toán để thực hiện chi trả hoặc giảm trừ vào học phí.","Trích dẫn: “Thực hiện thu học phí, lệ phí và các khoản thu khác; thanh toán các khoản chi theo chế độ quy định.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Sinh viên thuộc diện miễn giảm học phí, học bổng, trợ cấp thì thực hiện thủ tục ở đâu?```
#Answer : ```Sinh viên nộp hồ sơ miễn giảm học phí, học bổng, trợ cấp tại Phòng Chính trị & Công tác sinh viên. Sau khi được duyệt, danh sách sẽ chuyển sang Phòng Tài chính – Kế toán để thực hiện chi trả hoặc giảm trừ vào học phí.```"
223,18.0,Sinh viên muốn được tư vấn về các khoản vay học phí thì nên hỏi ai?,"Sinh viên liên hệ Phòng Tài chính – Kế toán để được tư vấn quy trình, giấy tờ và xác nhận thu nhập/lệ phí liên quan để hoàn thiện hồ sơ vay vốn tại Ngân hàng Chính sách Xã hội hoặc các ngân hàng liên kết với Học viện.","Trích dẫn: “Cung cấp số liệu, tài liệu kế toán, thống kê cho các cơ quan có liên quan…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Sinh viên muốn được tư vấn về các khoản vay học phí thì nên hỏi ai?```
#Answer : ```Sinh viên liên hệ Phòng Tài chính – Kế toán để được tư vấn quy trình, giấy tờ và xác nhận thu nhập/lệ phí liên quan để hoàn thiện hồ sơ vay vốn tại Ngân hàng Chính sách Xã hội hoặc các ngân hàng liên kết với Học viện.```"
224,18.0,Cán bộ muốn tạm ứng kinh phí cho hoạt động chuyên môn cần làm thủ tục gì?,"Cán bộ lập đề nghị tạm ứng (theo mẫu của Học viện) gửi về Phòng Tài chính – Kế toán. Sau khi được phê duyệt, cán bộ sẽ nhận tiền tạm ứng tại Phòng. Sau khi hoàn thành nhiệm vụ, cán bộ nộp chứng từ quyết toán theo đúng quy định.","Trích dẫn: “Tổ chức việc cấp kinh phí cho các hoạt động của Học viện, các đơn vị trực thuộc Học viện.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Cán bộ muốn tạm ứng kinh phí cho hoạt động chuyên môn cần làm thủ tục gì?```
#Answer : ```Cán bộ lập đề nghị tạm ứng (theo mẫu của Học viện) gửi về Phòng Tài chính – Kế toán. Sau khi được phê duyệt, cán bộ sẽ nhận tiền tạm ứng tại Phòng. Sau khi hoàn thành nhiệm vụ, cán bộ nộp chứng từ quyết toán theo đúng quy định.```"
225,18.0,"Giảng viên muốn biết định mức chi tiêu cho hội thảo, hội nghị khoa học thì tham khảo ở đâu?","Giảng viên liên hệ Phòng Tài chính – Kế toán để được cung cấp các văn bản, quy định, định mức chi tiêu hiện hành áp dụng tại Học viện đối với từng loại hoạt động.","Trích dẫn: “Hướng dẫn, chỉ đạo nghiệp vụ; theo dõi, kiểm tra các đơn vị trong việc thực hiện các chế độ kế toán, thống kê, tài chính…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Giảng viên muốn biết định mức chi tiêu cho hội thảo, hội nghị khoa học thì tham khảo ở đâu?```
#Answer : ```Giảng viên liên hệ Phòng Tài chính – Kế toán để được cung cấp các văn bản, quy định, định mức chi tiêu hiện hành áp dụng tại Học viện đối với từng loại hoạt động.```"
226,18.0,Đơn vị đối tác muốn ký hợp đồng dịch vụ hoặc thanh toán với Học viện thì gặp ai?,"Đơn vị đối tác liên hệ Phòng Tài chính – Kế toán để được hướng dẫn quy trình ký kết hợp đồng, thủ tục thanh toán và xuất hóa đơn tài chính theo đúng quy định của Nhà nước.",Trích dẫn: “Tổ chức thực hiện các nhiệm vụ của công tác kế toán thống kê theo quy định của pháp luật.” (Nhiệm vụ Phòng Tài chính – Kế toán),,5.0,6.0,"#Question : ```Đơn vị đối tác muốn ký hợp đồng dịch vụ hoặc thanh toán với Học viện thì gặp ai?```
#Answer : ```Đơn vị đối tác liên hệ Phòng Tài chính – Kế toán để được hướng dẫn quy trình ký kết hợp đồng, thủ tục thanh toán và xuất hóa đơn tài chính theo đúng quy định của Nhà nước.```"
227,18.0,Khách ngoài muốn tra cứu thông tin tài chính công khai của Học viện thì thực hiện thế nào?,"Khách ngoài có nhu cầu tra cứu thông tin tài chính công khai của Học viện liên hệ Phòng Tài chính – Kế toán để được hướng dẫn, cung cấp các báo cáo, số liệu công khai theo quy định về minh bạch tài chính trong cơ sở giáo dục công lập.","Trích dẫn: “Lập báo cáo tài chính theo quy định. Cung cấp số liệu, tài liệu kế toán, thống kê cho các cơ quan có liên quan theo quy định của Nhà nước…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Khách ngoài muốn tra cứu thông tin tài chính công khai của Học viện thì thực hiện thế nào?```
#Answer : ```Khách ngoài có nhu cầu tra cứu thông tin tài chính công khai của Học viện liên hệ Phòng Tài chính – Kế toán để được hướng dẫn, cung cấp các báo cáo, số liệu công khai theo quy định về minh bạch tài chính trong cơ sở giáo dục công lập.```"
228,18.0,Giờ làm việc của Phòng Tài chính – Kế toán là khi nào?,"Phòng Tài chính – Kế toán làm việc theo giờ hành chính Nhà nước, từ thứ Hai đến thứ Sáu, buổi sáng 8h00 – 11h30, buổi chiều 13h30 – 17h00. Nghỉ thứ Bảy, Chủ nhật và các ngày lễ theo quy định.",Trích dẫn: (Quy định chung về giờ làm việc của các phòng ban tại Học viện),,5.0,6.0,"#Question : ```Giờ làm việc của Phòng Tài chính – Kế toán là khi nào?```
#Answer : ```Phòng Tài chính – Kế toán làm việc theo giờ hành chính Nhà nước, từ thứ Hai đến thứ Sáu, buổi sáng 8h00 – 11h30, buổi chiều 13h30 – 17h00. Nghỉ thứ Bảy, Chủ nhật và các ngày lễ theo quy định.```"
229,18.0,Tôi có thể liên hệ Phòng Tài chính – Kế toán qua những kênh nào?,"Bạn có thể liên hệ trực tiếp tại tầng 1, nhà A1 – Km10, Nguyễn Trãi, Hà Đông, Hà Nội; gọi điện thoại số 024.3754 0410 hoặc gửi email cho Trưởng phòng (ngocdb@ptit.edu.vn) hay các Phó trưởng phòng theo thông tin trên website của Học viện.",Trích dẫn: (Thông tin liên hệ đã công khai tại phần giới thiệu về Phòng Tài chính – Kế toán),,5.0,6.0,"#Question : ```Tôi có thể liên hệ Phòng Tài chính – Kế toán qua những kênh nào?```
#Answer : ```Bạn có thể liên hệ trực tiếp tại tầng 1, nhà A1 – Km10, Nguyễn Trãi, Hà Đông, Hà Nội; gọi điện thoại số 024.3754 0410 hoặc gửi email cho Trưởng phòng (ngocdb@ptit.edu.vn) hay các Phó trưởng phòng theo thông tin trên website của Học viện.```"
230,18.0,"Em chưa kịp đóng học phí đúng hạn thì có bị xử lý gì không, và làm thế nào để xin gia hạn?","Nếu sinh viên chưa nộp học phí đúng hạn, tùy theo quy định từng năm học, Học viện có thể áp dụng các biện pháp như nhắc nhở, tạm ngừng đăng ký học phần, hoặc xử lý theo quy định tài chính. Nếu có lý do chính đáng, sinh viên cần làm đơn xin gia hạn học phí gửi Phòng Tài chính – Kế toán để được xem xét hỗ trợ.","Trích dẫn: “Quản lý chi phí, kiểm tra việc thực hiện chi tiêu tài chính trong toàn Học viện theo quy định.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em chưa kịp đóng học phí đúng hạn thì có bị xử lý gì không, và làm thế nào để xin gia hạn?```
#Answer : ```Nếu sinh viên chưa nộp học phí đúng hạn, tùy theo quy định từng năm học, Học viện có thể áp dụng các biện pháp như nhắc nhở, tạm ngừng đăng ký học phần, hoặc xử lý theo quy định tài chính. Nếu có lý do chính đáng, sinh viên cần làm đơn xin gia hạn học phí gửi Phòng Tài chính – Kế toán để được xem xét hỗ trợ.```"
231,18.0,"Em bị mất biên lai/hóa đơn học phí, muốn cấp lại thì phải làm thế nào?","Sinh viên cần đến Phòng Tài chính – Kế toán trình bày lý do mất biên lai và mang theo giấy tờ tùy thân, chứng từ nộp tiền (nếu có). Phòng sẽ kiểm tra thông tin và hỗ trợ cấp lại bản sao biên lai/hóa đơn theo quy định.","Trích dẫn: “Tổ chức lưu trữ, bảo quản hồ sơ, tài liệu tài chính, kế toán theo quy định của Nhà nước.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em bị mất biên lai/hóa đơn học phí, muốn cấp lại thì phải làm thế nào?```
#Answer : ```Sinh viên cần đến Phòng Tài chính – Kế toán trình bày lý do mất biên lai và mang theo giấy tờ tùy thân, chứng từ nộp tiền (nếu có). Phòng sẽ kiểm tra thông tin và hỗ trợ cấp lại bản sao biên lai/hóa đơn theo quy định.```"
232,18.0,Em muốn xác nhận đã hoàn thành nghĩa vụ tài chính (đã nộp đủ học phí) để làm thủ tục tốt nghiệp thì phải làm gì?,"Sinh viên gửi yêu cầu xác nhận đã hoàn thành nghĩa vụ tài chính tại Phòng Tài chính – Kế toán. Sau khi đối chiếu, Phòng sẽ cấp giấy xác nhận cho sinh viên để hoàn tất thủ tục tốt nghiệp.","Trích dẫn: “Cung cấp số liệu, tài liệu kế toán, thống kê cho các cơ quan có liên quan theo quy định…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em muốn xác nhận đã hoàn thành nghĩa vụ tài chính (đã nộp đủ học phí) để làm thủ tục tốt nghiệp thì phải làm gì?```
#Answer : ```Sinh viên gửi yêu cầu xác nhận đã hoàn thành nghĩa vụ tài chính tại Phòng Tài chính – Kế toán. Sau khi đối chiếu, Phòng sẽ cấp giấy xác nhận cho sinh viên để hoàn tất thủ tục tốt nghiệp.```"
233,18.0,Em muốn biết số dư tài khoản học phí hoặc kiểm tra đã nộp đủ học phí chưa thì phải tra cứu ở đâu?,"Sinh viên có thể tra cứu thông tin học phí đã nộp trên Cổng thông tin sinh viên Slink hoặc Quản lý đào tạo hoặc liên hệ trực tiếp với Phòng Tài chính – Kế toán để được kiểm tra, xác nhận.","Trích dẫn: “Tổ chức quản lý, theo dõi các nguồn kinh phí, doanh thu thực hiện…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em muốn biết số dư tài khoản học phí hoặc kiểm tra đã nộp đủ học phí chưa thì phải tra cứu ở đâu?```
#Answer : ```Sinh viên có thể tra cứu thông tin học phí đã nộp trên Cổng thông tin sinh viên Slink hoặc Quản lý đào tạo hoặc liên hệ trực tiếp với Phòng Tài chính – Kế toán để được kiểm tra, xác nhận.```"
234,18.0,"Em nộp học phí qua ngân hàng nhưng chưa thấy cập nhật, cần xử lý thế nào?","Nếu sau 1-2 ngày làm việc mà học phí chưa được cập nhật, sinh viên cần giữ lại biên lai/chứng từ chuyển tiền và liên hệ Phòng Tài chính – Kế toán để kiểm tra, đối soát giao dịch và cập nhật kịp thời.","Trích dẫn: “Thực hiện thu học phí, lệ phí và các khoản thu khác…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em nộp học phí qua ngân hàng nhưng chưa thấy cập nhật, cần xử lý thế nào?```
#Answer : ```Nếu sau 1-2 ngày làm việc mà học phí chưa được cập nhật, sinh viên cần giữ lại biên lai/chứng từ chuyển tiền và liên hệ Phòng Tài chính – Kế toán để kiểm tra, đối soát giao dịch và cập nhật kịp thời.```"
235,18.0,Sinh viên được nhận học bổng hoặc các khoản hỗ trợ tài chính thì nhận ở đâu?,"Các khoản học bổng, hỗ trợ tài chính sẽ được Phòng Tài chính – Kế toán chi trả trực tiếp cho sinh viên qua tài khoản ngân hàng đã đăng ký hoặc nhận tại phòng (tầng 1, nhà A1) theo thông báo cụ thể.","Trích dẫn: “Tổ chức việc cấp kinh phí cho các hoạt động của Học viện, các đơn vị trực thuộc Học viện.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Sinh viên được nhận học bổng hoặc các khoản hỗ trợ tài chính thì nhận ở đâu?```
#Answer : ```Các khoản học bổng, hỗ trợ tài chính sẽ được Phòng Tài chính – Kế toán chi trả trực tiếp cho sinh viên qua tài khoản ngân hàng đã đăng ký hoặc nhận tại phòng (tầng 1, nhà A1) theo thông báo cụ thể.```"
236,18.0,"Em bị cảnh báo học phí do chưa nộp đủ, ảnh hưởng gì đến việc đăng ký học phần hoặc thi cử không?","Nếu sinh viên chưa hoàn thành nghĩa vụ học phí, có thể bị hạn chế quyền đăng ký học phần mới hoặc dự thi cuối kỳ theo thông báo của Học viện. Sinh viên nên nhanh chóng hoàn thành học phí hoặc liên hệ Phòng Tài chính – Kế toán để được hướng dẫn.","Trích dẫn: “Quản lý chi phí, kiểm tra việc thực hiện chi tiêu tài chính trong toàn Học viện theo quy định.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em bị cảnh báo học phí do chưa nộp đủ, ảnh hưởng gì đến việc đăng ký học phần hoặc thi cử không?```
#Answer : ```Nếu sinh viên chưa hoàn thành nghĩa vụ học phí, có thể bị hạn chế quyền đăng ký học phần mới hoặc dự thi cuối kỳ theo thông báo của Học viện. Sinh viên nên nhanh chóng hoàn thành học phí hoặc liên hệ Phòng Tài chính – Kế toán để được hướng dẫn.```"
237,18.0,"Em là sinh viên bảo lưu, học lại hoặc chuyển ngành thì mức học phí tính thế nào?","Mức học phí sẽ được tính dựa trên số tín chỉ, học phần mà sinh viên đăng ký học lại hoặc chuyển ngành theo quy định hiện hành của Học viện. Sinh viên liên hệ Phòng Tài chính – Kế toán để được tư vấn cụ thể từng trường hợp.","Trích dẫn: “Xây dựng và tổ chức thực hiện các cơ chế, chính sách, mức thu, mức chi…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em là sinh viên bảo lưu, học lại hoặc chuyển ngành thì mức học phí tính thế nào?```
#Answer : ```Mức học phí sẽ được tính dựa trên số tín chỉ, học phần mà sinh viên đăng ký học lại hoặc chuyển ngành theo quy định hiện hành của Học viện. Sinh viên liên hệ Phòng Tài chính – Kế toán để được tư vấn cụ thể từng trường hợp.```"
238,18.0,"Em mới trúng tuyển và nhập học, muốn biết các khoản phải đóng gồm những gì?","Sinh viên mới nhập học sẽ nhận được thông báo chi tiết các khoản phải đóng như: học phí, lệ phí nhập học, bảo hiểm y tế, các khoản thu bắt buộc khác… Thông tin này được đăng tải trên website Học viện, cổng thông tin tân sinh viên hoặc tại Phòng Tài chính – Kế toán.","Trích dẫn: “Thực hiện thu học phí, lệ phí và các khoản thu khác…” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Em mới trúng tuyển và nhập học, muốn biết các khoản phải đóng gồm những gì?```
#Answer : ```Sinh viên mới nhập học sẽ nhận được thông báo chi tiết các khoản phải đóng như: học phí, lệ phí nhập học, bảo hiểm y tế, các khoản thu bắt buộc khác… Thông tin này được đăng tải trên website Học viện, cổng thông tin tân sinh viên hoặc tại Phòng Tài chính – Kế toán.```"
239,18.0,"Sinh viên có thể nhận lại khoản phí đã nộp (như học phí, lệ phí) trong trường hợp chuyển trường không?","Sinh viên làm đơn đề nghị hoàn trả phí, kèm quyết định chuyển trường và các giấy tờ liên quan, nộp tại Phòng Tài chính – Kế toán. Việc hoàn trả sẽ được xem xét theo quy định của Học viện và Nhà nước.","Trích dẫn: “Thực hiện thu học phí, lệ phí và các khoản thu khác; thanh toán các khoản chi theo chế độ quy định.” (Nhiệm vụ Phòng Tài chính – Kế toán)",,5.0,6.0,"#Question : ```Sinh viên có thể nhận lại khoản phí đã nộp (như học phí, lệ phí) trong trường hợp chuyển trường không?```
#Answer : ```Sinh viên làm đơn đề nghị hoàn trả phí, kèm quyết định chuyển trường và các giấy tờ liên quan, nộp tại Phòng Tài chính – Kế toán. Việc hoàn trả sẽ được xem xét theo quy định của Học viện và Nhà nước.```"
240,19.0,"Sinh viên hoặc cán bộ muốn hỏi về các dự án đầu tư, xây dựng mới trong Học viện thì liên hệ với bộ phận nào?","Sinh viên hoặc cán bộ có thể liên hệ trực tiếp với Phòng Kế hoạch – Đầu tư tại địa chỉ Km10, Nguyễn Trãi, Hà Đông, Hà Nội. Bạn cũng có thể gửi email đến các Phó trưởng phòng hoặc Phụ trách phòng như ông Đinh Hồng Hải (haidh@ptit.edu.vn) để được hỗ trợ và giải đáp về các dự án đầu tư, xây dựng mới của Học viện.","Trích dẫn: “Phòng Kế hoạch – Đầu tư có chức năng tham mưu, giúp Giám đốc Học viện về quản lý, điều hành công tác Kế hoạch, Đầu tư, Xây dựng cơ bản…” – (Thông tin giới thiệu về Phòng Kế hoạch – Đầu tư)",,5.0,6.0,"#Question : ```Sinh viên hoặc cán bộ muốn hỏi về các dự án đầu tư, xây dựng mới trong Học viện thì liên hệ với bộ phận nào?```
#Answer : ```Sinh viên hoặc cán bộ có thể liên hệ trực tiếp với Phòng Kế hoạch – Đầu tư tại địa chỉ Km10, Nguyễn Trãi, Hà Đông, Hà Nội. Bạn cũng có thể gửi email đến các Phó trưởng phòng hoặc Phụ trách phòng như ông Đinh Hồng Hải (haidh@ptit.edu.vn) để được hỗ trợ và giải đáp về các dự án đầu tư, xây dựng mới của Học viện.```"
241,19.0,"Cán bộ, giảng viên muốn đề xuất mua sắm thiết bị, công cụ phục vụ công tác giảng dạy thì quy trình như thế nào?","Cán bộ, giảng viên cần lập đề xuất gửi về đơn vị quản lý trực tiếp, sau đó đơn vị sẽ tập hợp và gửi về Phòng Kế hoạch – Đầu tư để tổng hợp, tổ chức thẩm định và trình Giám đốc Học viện phê duyệt theo đúng quy trình mua sắm tài sản, công cụ dụng cụ của Học viện.","Trích dẫn: “Tổ chức xây dựng kế hoạch đầu tư, xây dựng cơ bản dài hạn, trung hạn và hàng năm... Tổ chức quản lý, triển khai thực hiện các dự án… mua sắm tài sản, công cụ, dụng cụ…” – (Thông tin giới thiệu về Phòng Kế hoạch – Đầu tư)",,5.0,6.0,"#Question : ```Cán bộ, giảng viên muốn đề xuất mua sắm thiết bị, công cụ phục vụ công tác giảng dạy thì quy trình như thế nào?```
#Answer : ```Cán bộ, giảng viên cần lập đề xuất gửi về đơn vị quản lý trực tiếp, sau đó đơn vị sẽ tập hợp và gửi về Phòng Kế hoạch – Đầu tư để tổng hợp, tổ chức thẩm định và trình Giám đốc Học viện phê duyệt theo đúng quy trình mua sắm tài sản, công cụ dụng cụ của Học viện.```"
242,19.0,"Tôi muốn biết kế hoạch phát triển dài hạn của Học viện, tôi cần liên hệ với ai?","Bạn vui lòng liên hệ Phòng Kế hoạch – Đầu tư để được cung cấp thông tin về chiến lược phát triển, kế hoạch dài hạn, trung hạn và hàng năm của Học viện. Thông tin liên hệ phòng: Km10, Nguyễn Trãi, Hà Đông, Hà Nội. Email: haidh@ptit.edu.vn.","Trích dẫn: “Xây dựng và tổ chức thực hiện chiến lược phát triển, kế hoạch dài hạn, trung hạn và kế hoạch hàng năm của Học viện.” – (Thông tin giới thiệu về Phòng Kế hoạch – Đầu tư)",,5.0,6.0,"#Question : ```Tôi muốn biết kế hoạch phát triển dài hạn của Học viện, tôi cần liên hệ với ai?```
#Answer : ```Bạn vui lòng liên hệ Phòng Kế hoạch – Đầu tư để được cung cấp thông tin về chiến lược phát triển, kế hoạch dài hạn, trung hạn và hàng năm của Học viện. Thông tin liên hệ phòng: Km10, Nguyễn Trãi, Hà Đông, Hà Nội. Email: haidh@ptit.edu.vn.```"
243,19.0,"Sinh viên hoặc giảng viên phát hiện cơ sở vật chất bị hỏng hóc, muốn đề xuất sửa chữa thì gửi về đâu?","Bạn vui lòng báo cáo về đơn vị quản lý trực tiếp hoặc gửi thông tin cho Phòng Kế hoạch – Đầu tư để phòng tổng hợp, tổ chức thẩm định và triển khai công tác sửa chữa theo quy định.","Trích dẫn: “Tổ chức quản lý, triển khai thực hiện các dự án cải tạo, sửa chữa quy mô nhỏ… đã được các cơ quan có thẩm quyền phê duyệt…” – (Thông tin giới thiệu về Phòng Kế hoạch – Đầu tư)",,5.0,6.0,"#Question : ```Sinh viên hoặc giảng viên phát hiện cơ sở vật chất bị hỏng hóc, muốn đề xuất sửa chữa thì gửi về đâu?```
#Answer : ```Bạn vui lòng báo cáo về đơn vị quản lý trực tiếp hoặc gửi thông tin cho Phòng Kế hoạch – Đầu tư để phòng tổng hợp, tổ chức thẩm định và triển khai công tác sửa chữa theo quy định.```"
